Country,year,Population,CO2mt,CO2gask,CO2liquidk,CO2solidk,Methane,NO,HRC,PFC,SF6,Total,GlobTemp,Wheat,Corn,Soybean
British Virgin Islands,1990,17489.0,4.218163030120241,0.0,66.006,0.0,312126.56362474285,112821.9537815126,3396.507111756169,685.9366715758468,988.284047267356,1454950.5142811427,0.6891666666666666,67.6,63.94375,152.15625
Brunei Darussalam,1990,258714.0,12.60078697,4594.751,1540.14,0.0,1320.000052,80.0,0.0,0.0,0.0,4670.0,0.6891666666666666,67.6,63.94375,152.15625
Bulgaria,1990,8718289.0,8.443170443,11122.011,25078.613,35932.933,16370.00084,8240.0,0.0,2.2,0.0,98220.0,0.6891666666666666,67.6,63.94375,152.15625
Burkina Faso,1990,8811033.0,0.056747035,0.0,583.053,0.0,6750.0,4730.0,3396.507111756169,685.9366715758468,988.284047267356,11990.0,0.6891666666666666,67.6,63.94375,152.15625
Burundi,1990,5438959.0,0.031255981,0.0,194.351,14.668,600.0000238,1030.0,3396.507111756169,685.9366715758468,988.284047267356,1800.0,0.6891666666666666,67.6,63.94375,152.15625
Cabo Verde,1990,337953.0,0.295899134,0.0,95.342,0.0,79.99999821,50.0,3396.507111756169,685.9366715758468,988.284047267356,230.0,0.6891666666666666,67.6,63.94375,152.15625
Cambodia,1990,8975597.0,0.140380634,0.0,1261.448,0.0,12140.00034,2730.0,0.0,0.0,0.0,16130.0,0.6891666666666666,67.6,63.94375,152.15625
Cameroon,1990,11780086.0,0.246178169,0.0,366.7,3.667,10770.00046,5360.0,0.0,932.3,0.0,19520.0,0.6891666666666666,67.6,63.94375,152.15625
Canada,1990,27691138.0,15.14888987,125378.397,205729.701,93867.866,68970.00122,40220.0,418.5,8600.3,3971.8,540380.0,0.6891666666666666,67.6,63.94375,152.15625
Caribbean small states,1990,6009262.0,4.589581882,190317.02940264525,17458.587,445828.9898274005,20369.99991,1820.0,3396.507111756169,685.9366715758468,988.284047267356,49970.0,0.6891666666666666,67.6,63.94375,152.15625
Cayman Islands,1990,25307.0,4.218163030120241,0.0,249.356,0.0,312126.56362474285,112821.9537815126,3396.507111756169,685.9366715758468,988.284047267356,1454950.5142811427,0.6891666666666666,67.6,63.94375,152.15625
Central African Republic,1990,2806740.0,0.053442784,0.0,198.018,0.0,8680.000305,8040.0,3396.507111756169,685.9366715758468,988.284047267356,16870.0,0.6891666666666666,67.6,63.94375,152.15625
Central Europe and the Baltics,1990,110743128.0,8.93084761,190317.02940264525,224158.455,582205.0821,155060.0016,86850.0,3396.507111756169,685.9366715758468,988.284047267356,1236190.0,0.6891666666666666,67.6,63.94375,152.15625
Chad,1990,5963250.0,0.065400579,0.0,377.701,0.0,9069.999695,5960.0,3396.507111756169,685.9366715758468,988.284047267356,15410.0,0.6891666666666666,67.6,63.94375,152.15625
Channel Islands,1990,140677.0,4.218163030120241,190317.02940264525,318096.1204687234,445828.9898274005,312126.56362474285,112821.9537815126,3396.507111756169,685.9366715758468,988.284047267356,1454950.5142811427,0.6891666666666666,67.6,63.94375,152.15625
Chile,1990,13274617.0,2.299124713,2614.571,18540.352,10714.974,9970.000267,4650.0,0.0,0.2,16.5,45260.0,0.6891666666666666,67.6,63.94375,152.15625
China,1990,1135185000.0,1.914542564,29324.999,330561.715,1978302.496,765390.0146,295770.0,5970.1,4674.5,1708.6,3240290.0,0.6891666666666666,67.6,63.94375,152.15625
Colombia,1990,33102569.0,1.472091184,8379.095,31136.497,13894.263,56340.00015,18150.0,0.0,0.2,41.7,123410.0,0.6891666666666666,67.6,63.94375,152.15625
Comoros,1990,411598.0,0.170068854,0.0,62.339,0.0,150.000006,40.0,3396.507111756169,685.9366715758468,988.284047267356,260.0,0.6891666666666666,67.6,63.94375,152.15625
"Congo, Dem. Rep.",1990,34612023.0,0.091875589,0.0,3171.955,891.081,21510.00023,13390.0,0.0,0.0,0.0,38110.0,0.6891666666666666,67.6,63.94375,152.15625
"Congo, Rep.",1990,2356740.0,1.357807819,3.667,971.755,0.0,4969.99979,1490.0,0.0,0.0,0.0,9660.0,0.6891666666666666,67.6,63.94375,152.15625
Costa Rica,1990,3119436.0,0.920038109,0.0,2647.574,0.0,3980.000019,1640.0,0.0,0.0,0.0,8520.0,0.6891666666666666,67.6,63.94375,152.15625
Cote d'Ivoire,1990,11924873.0,0.227256089,0.0,4785.435,0.0,4000.0,2590.0,0.0,0.0,0.0,9300.0,0.6891666666666666,67.6,63.94375,152.15625
Croatia,1990,4777368.0,4.257574464,190317.02940264525,318096.1204687234,445828.9898274005,4050.000191,2940.0,0.0,890.4,0.0,28570.0,0.6891666666666666,67.6,63.94375,152.15625
Cuba,1990,10596986.0,3.361333119,69.673,30850.471,550.05,12649.99962,6440.0,0.0,0.0,0.0,54790.0,0.6891666666666666,67.6,63.94375,152.15625
Curacao,1990,145400.0,4.218163030120241,190317.02940264525,318096.1204687234,445828.9898274005,312126.56362474285,112821.9537815126,3396.507111756169,685.9366715758468,988.284047267356,1454950.5142811427,0.6891666666666666,67.6,63.94375,152.15625
Cyprus,1990,766616.0,5.987352208,0.0,3887.02,256.69,529.9999714,320.0,0.0,0.0,0.0,5440.0,0.6891666666666666,67.6,63.94375,152.15625
Czech Republic,1990,10333355.0,14.53545339,190317.02940264525,318096.1204687234,445828.9898274005,23659.99985,8020.0,0.1,2.8,3.3,181960.0,0.6891666666666666,67.6,63.94375,152.15625
Denmark,1990,5140939.0,10.13239021,4162.045,21994.666,23010.425,9430.000305,7300.0,0.3,1.4,86.7,68840.0,0.6891666666666666,67.6,63.94375,152.15625
Djibouti,1990,590393.0,0.457322495,0.0,322.696,0.0,439.9999976,200.0,3396.507111756169,685.9366715758468,988.284047267356,910.0,0.6891666666666666,67.6,63.94375,152.15625
Dominica,1990,70422.0,0.852006475,0.0,58.672,0.0,100.0000015,30.0,3396.507111756169,685.9366715758468,988.284047267356,190.0,0.6891666666666666,67.6,63.94375,152.15625
Dominican Republic,1990,7133491.0,1.101844805,0.0,8679.789,25.669,5960.000038,1920.0,0.0,0.0,0.0,15760.0,0.6891666666666666,67.6,63.94375,152.15625
East Asia & Pacific,1990,1822134188.0,2.475513927,253331.8129,1574553.752,2740669.798,1528850.013,556840.0,3396.507111756169,685.9366715758468,988.284047267356,6456020.0,0.6891666666666666,67.6,63.94375,152.15625
Ecuador,1990,10230931.0,1.507194213,509.713,13523.896,0.0,17809.99947,3680.0,0.0,0.0,0.0,36940.0,0.6891666666666666,67.6,63.94375,152.15625
"Egypt, Arab Rep.",1990,56134478.0,1.563210403,13025.184,52115.404,3362.639,31309.99947,12480.0,0.0,1280.8,769.7,134060.0,0.6891666666666666,67.6,63.94375,152.15625
